mp,date_time,home_team,away_team,1st_score,1st_concede,1st_global,2nd_score,2nd_concede,2nd_global,total_score,total_concede,global
3,2022-08-21 14:45,Waalwijk,Feyenoord,0,0,0,0,1,1,0,1,1
3,2022-08-21 12:30,Sparta Rotterdam,Ajax,0,1,1,0,0,0,0,1,1
3,2022-08-21 10:15,Groningen,G.A. Eagles,1,0,1,0,0,0,1,0,1
3,2022-08-20 19:00,FC Emmen,Utrecht,1,2,3,2,0,2,3,2,5
3,2022-08-20 16:45,Sittard,Cambuur,1,0,1,0,4,4,1,4,5
3,2022-08-20 14:30,Vitesse,Heerenveen,0,2,2,0,2,2,0,4,4
2,2022-08-14 14:45,Sparta Rotterdam,AZ Alkmaar,1,1,2,1,2,3,2,3,5
2,2022-08-14 12:30,Ajax,Groningen,3,1,4,3,0,3,6,1,7
2,2022-08-14 12:30,Twente,Sittard,2,0,2,1,0,1,3,0,3
2,2022-08-14 10:15,FC Volendam,Nijmegen,1,2,3,0,2,2,1,4,5
2,2022-08-13 19:00,Feyenoord,Heerenveen,0,0,0,0,0,0,0,0,0
2,2022-08-13 18:00,FC Emmen,Waalwijk,0,0,0,1,1,2,1,1,2
2,2022-08-13 18:00,Utrecht,Cambuur,0,0,0,0,0,0,0,0,0
2,2022-08-13 16:45,G.A. Eagles,PSV,1,3,4,1,2,3,2,5,7
2,2022-08-12 18:00,Excelsior,Vitesse,2,1,3,1,0,1,3,1,4
1,2022-08-07 14:45,AZ Alkmaar,G.A. Eagles,0,0,0,2,0,2,2,0,2
1,2022-08-07 12:30,Nijmegen,Twente,0,0,0,0,1,1,0,1,1
1,2022-08-07 12:30,Vitesse,Feyenoord,1,2,3,1,3,4,2,5,7
1,2022-08-07 10:15,Groningen,FC Volendam,2,1,3,0,1,1,2,2,4
1,2022-08-06 19:00,Waalwijk,Utrecht,2,0,2,0,2,2,2,2,4
1,2022-08-06 18:00,PSV,FC Emmen,3,0,3,1,1,2,4,1,5
1,2022-08-06 16:45,Cambuur,Excelsior,0,2,2,0,0,0,0,2,2
1,2022-08-06 14:30,Sittard,Ajax,1,0,1,1,3,4,2,3,5
1,2022-08-05 18:00,Heerenveen,Sparta Rotterdam,0,0,0,0,0,0,0,0,0
